round	well	tile	channel
1	A1	141	AF750
1	A1	141	CY3
1	A1	141	CY5
1	A1	141	DAPI
1	A1	141	GFP
1	A1	142	AF750
1	A1	142	CY3
1	A1	142	CY5
1	A1	142	DAPI
1	A1	142	GFP
1	A1	143	AF750
1	A1	143	CY3
1	A1	143	CY5
1	A1	143	DAPI
1	A1	143	GFP
1	A1	144	AF750
1	A1	144	CY3
1	A1	144	CY5
1	A1	144	DAPI
1	A1	144	GFP
1	A1	145	AF750
1	A1	145	CY3
1	A1	145	CY5
1	A1	145	DAPI
1	A1	145	GFP
1	A1	146	AF750
1	A1	146	CY3
1	A1	146	CY5
1	A1	146	DAPI
1	A1	146	GFP
1	A1	147	AF750
1	A1	147	CY3
1	A1	147	CY5
1	A1	147	DAPI
1	A1	147	GFP
1	A1	148	AF750
1	A1	148	CY3
1	A1	148	CY5
1	A1	148	DAPI
1	A1	148	GFP
1	A1	149	AF750
1	A1	149	CY3
1	A1	149	CY5
1	A1	149	DAPI
1	A1	149	GFP
1	A1	150	AF750
1	A1	150	CY3
1	A1	150	CY5
1	A1	150	DAPI
1	A1	150	GFP
1	A1	151	AF750
1	A1	151	CY3
1	A1	151	CY5
1	A1	151	DAPI
1	A1	151	GFP
1	A1	152	AF750
1	A1	152	CY3
1	A1	152	CY5
1	A1	152	DAPI
1	A1	152	GFP
1	A1	153	AF750
1	A1	153	CY3
1	A1	153	CY5
1	A1	153	DAPI
1	A1	153	GFP
1	A1	154	AF750
1	A1	154	CY3
1	A1	154	CY5
1	A1	154	DAPI
1	A1	154	GFP
1	A1	155	AF750
1	A1	155	CY3
1	A1	155	CY5
1	A1	155	DAPI
1	A1	155	GFP
1	A1	156	AF750
1	A1	156	CY3
1	A1	156	CY5
1	A1	156	DAPI
1	A1	156	GFP
1	A1	157	AF750
1	A1	157	CY3
1	A1	157	CY5
1	A1	157	DAPI
1	A1	157	GFP
1	A1	158	AF750
1	A1	158	CY3
1	A1	158	CY5
1	A1	158	DAPI
1	A1	158	GFP
1	A1	159	AF750
1	A1	159	CY3
1	A1	159	CY5
1	A1	159	DAPI
1	A1	159	GFP
1	A1	160	AF750
1	A1	160	CY3
1	A1	160	CY5
1	A1	160	DAPI
1	A1	160	GFP
1	A1	161	AF750
1	A1	161	CY3
1	A1	161	CY5
1	A1	161	DAPI
1	A1	161	GFP
1	A1	162	AF750
1	A1	162	CY3
1	A1	162	CY5
1	A1	162	DAPI
1	A1	162	GFP
1	A1	163	AF750
1	A1	163	CY3
1	A1	163	CY5
1	A1	163	DAPI
1	A1	163	GFP
1	A1	164	AF750
1	A1	164	CY3
1	A1	164	CY5
1	A1	164	DAPI
1	A1	164	GFP
1	A1	165	AF750
1	A1	165	CY3
1	A1	165	CY5
1	A1	165	DAPI
1	A1	165	GFP
1	A1	166	AF750
1	A1	166	CY3
1	A1	166	CY5
1	A1	166	DAPI
1	A1	166	GFP
1	A1	167	AF750
1	A1	167	CY3
1	A1	167	CY5
1	A1	167	DAPI
1	A1	167	GFP
1	A1	168	AF750
1	A1	168	CY3
1	A1	168	CY5
1	A1	168	DAPI
1	A1	168	GFP
1	A1	169	AF750
1	A1	169	CY3
1	A1	169	CY5
1	A1	169	DAPI
1	A1	169	GFP
1	A1	170	AF750
1	A1	170	CY3
1	A1	170	CY5
1	A1	170	DAPI
1	A1	170	GFP
1	A1	171	AF750
1	A1	171	CY3
1	A1	171	CY5
1	A1	171	DAPI
1	A1	171	GFP
1	A1	172	AF750
1	A1	172	CY3
1	A1	172	CY5
1	A1	172	DAPI
1	A1	172	GFP
1	A1	173	AF750
1	A1	173	CY3
1	A1	173	CY5
1	A1	173	DAPI
1	A1	173	GFP
1	A1	174	AF750
1	A1	174	CY3
1	A1	174	CY5
1	A1	174	DAPI
1	A1	174	GFP
1	A1	175	AF750
1	A1	175	CY3
1	A1	175	CY5
1	A1	175	DAPI
1	A1	175	GFP
1	A1	176	AF750
1	A1	176	CY3
1	A1	176	CY5
1	A1	176	DAPI
1	A1	176	GFP
1	A1	177	AF750
1	A1	177	CY3
1	A1	177	CY5
1	A1	177	DAPI
1	A1	177	GFP
1	A1	178	AF750
1	A1	178	CY3
1	A1	178	CY5
1	A1	178	DAPI
1	A1	178	GFP
1	A1	179	AF750
1	A1	179	CY3
1	A1	179	CY5
1	A1	179	DAPI
1	A1	179	GFP
1	A1	180	AF750
1	A1	180	CY3
1	A1	180	CY5
1	A1	180	DAPI
1	A1	180	GFP
1	A1	181	AF750
1	A1	181	CY3
1	A1	181	CY5
1	A1	181	DAPI
1	A1	181	GFP
1	A1	182	AF750
1	A1	182	CY3
1	A1	182	CY5
1	A1	182	DAPI
1	A1	182	GFP
1	A1	183	AF750
1	A1	183	CY3
1	A1	183	CY5
1	A1	183	DAPI
1	A1	183	GFP
1	A1	184	AF750
